station_num,nuts_code,district_code,sub_district_code,station_name,latitude_deg,longitude_deg,altitude_m
5901,AT13,91900,91905,Wien - Hohe Warte,48.248611,16.356944,202.0
5904,AT13,91900,91905,Wien - Hohe Warte,48.248611,16.356944,202.0
